line,order,stationName,lat,lng,hasElevatorInstalled,hasLiftInstalled
S1102,10,서초,37.49191,127.007685,true,false
S1102,11,방배,37.481469,126.997627,true,false
S1102,12,사당,37.476536,126.981631,true,false
S1102,13,낙성대(강감찬),37.47713,126.963583,true,false
S1102,14,서울대입구(관악구청),37.481233,126.952745,true,false
S1102,15,봉천,37.482416,126.941696,true,false
S1102,16,신림,37.484216,126.929573,true,false
S1102,17,신대방,37.487604,126.913479,true,false
S1102,18,구로디지털단지,37.4852931,126.901456,true,false
S1102,19,대림(구로구청),37.4932826,126.8949793,true,false
S1102,20,신도림,37.508815,126.891222,true,false
S1102,21,문래,37.517993,126.894766,true,false
S1102,22,영등포구청,37.525766,126.896627,true,false
S1102,23,당산,37.534807,126.902611,true,false
S1102,24,합정,37.550025,126.914557,true,false
S1102,25,홍대입구,37.556748,126.923643,true,false
S1102,26,신촌(지하),37.555153,126.93689,true,false
S1102,27,이대,37.556734,126.945897,true,false
S1102,28,아현,37.557407,126.956079,true,false
S1102,29,충정로(경기대입구),37.559742,126.964455,true,false
S1102,30,시청,37.563534,126.975271,true,false
S1102,31,을지로입구,37.565998,126.982569,true,false
S1102,32,을지로3가,37.566292,126.990873,true,false
S1102,33,을지로4가,37.566611,126.997622,true,false
S1102,34,동대문역사문화공원(DDP),37.565609,127.009083,true,false
S1102,35,신당,37.565675,127.0194259,true,false
S1102,36,상왕십리,37.564444,127.029322,true,false
S1102,37,왕십리(성동구청),37.561289,127.0370615,true,false
S1102,38,한양대,37.555758,127.0436594,true,false
S1102,39,뚝섬,37.54718,127.047413,true,false
S1102,40,성수,37.544628,127.055983,true,false
S1102,41,건대입구,37.540408,127.069231,true,false
S1102,42,구의(광진구청),37.537157,127.0862124,true,false
S1102,43,강변(동서울터미널),37.535161,127.094684,true,false
I1103,1,지축,37.648151,126.913751,true,false
I1103,2,구파발,37.636612,126.918827,true,false
I1103,3,연신내,37.619295,126.920959,true,false
I1103,4,불광,37.610154,126.930183,true,false
I1103,5,녹번,37.600882,126.935758,true,false
I1103,6,홍제,37.588851,126.944092,true,false
